schema,uuid,id,gmd:title,gmd:abstract,keywords_place,link_download,link_service_esri,link_information,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme
iso19139,a1794132-e17b-4236-8d8b-f26099a86965,583057,Bedrock Geology,Michigan bedrock geology More Metadata,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/0,http://gis.michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0,michigan,geology,,,,,,,,
iso19139,44eefe19-1419-42d0-8eba-c58b764294b9,583067,2012 MDOT Traffic Volumes,"The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and the Commercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercial vehicles. Data Dictionary Data Quality: For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors. Data Coverage: The dataset covers the entire State of Michigan (state-owned) Trunkline system. Update Cycle: AADT & CAADT volumes are created and released every year. Contact: Kevin Krzeminski",{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_6.zip,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/6,http://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_6,mi,michigan,mdot,transportation,traffic,volume,caadt,aadt,roadway,open data
iso19139,adb9d0aa-3d3a-4526-b0e4-459ef70c8f3a,583069,Spruce Budworm 2003,Spruce Budworm 2003 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/00b84d92d52940a39b3dfe48fc48c530_19.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/19,http://gis.michigan.opendata.arcgis.com/datasets/00b84d92d52940a39b3dfe48fc48c530_19,dnr,forestry,,,,,,,,
iso19139,0b32c470-d749-4467-85a5-e9196d9a8a0a,583070,Spruce Budworm 2012,Spruce Budworm 2012 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/6e2557fee97f44a5802b0cc70a9f1e6f_28.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/28,http://gis.michigan.opendata.arcgis.com/datasets/6e2557fee97f44a5802b0cc70a9f1e6f_28,dnr,forestry,,,,,,,,
iso19139,4a909772-c603-4e45-bbc5-c51b5af2b290,583072,Michigan Oak Wilt Locations,Oak Wilt Locations are derived from the Michigan Department of Natural Resources' Forest Health database. These locations are found primarily on state owned land.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/c9c9047970794169b911a255ea7d78c8_0.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/0,http://gis.michigan.opendata.arcgis.com/datasets/c9c9047970794169b911a255ea7d78c8_0,dnr,forestry,,,,,,,,
iso19139,51f90887-0058-40e5-b055-2ac64fd04513,583071,Michigan Public Recreational Vehicle Scramble Areas,Recreational vehicle scramble areas open for public use.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/5b28e7cac7944521bd00f33cac952783_4.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrParksAndRecreation/MapServer/4,http://gis.michigan.opendata.arcgis.com/datasets/5b28e7cac7944521bd00f33cac952783_4,dnr,scramble area,orv,recreation,,,,,,
iso19139,d95ae02a-ca98-483a-9d94-d746a46e8929,583066,Aerial Survey 2012 Host Species,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/cda8cfb1d7cb43ff994e1b28e86866a8_27.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/27,http://gis.michigan.opendata.arcgis.com/datasets/cda8cfb1d7cb43ff994e1b28e86866a8_27,dnr,forestry,,,,,,,,
iso19139,5eb4ea5d-6bef-4ab8-8d17-45a452cb89ae,583068,Aerial Survey 2010 Pattern,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/19600c3748f04a49a23e08bb332b4769_14.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/14,http://gis.michigan.opendata.arcgis.com/datasets/19600c3748f04a49a23e08bb332b4769_14,dnr,forestry,,,,,,,,
iso19139,234cc1e1-3e52-42cc-9d77-f0b3eef243d9,583073,Michigan DNR Fisheries Management Units,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/dfe1ff34fe65456d9ed90aa6630e724d_2.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrFisheries/MapServer/2,http://gis.michigan.opendata.arcgis.com/datasets/dfe1ff34fe65456d9ed90aa6630e724d_2,dnr,management units,,,,,,,,
iso19139,ec094768-7e3d-4f6d-9309-f1e8fea69b49,583074,Michigan DNR Forest Management Units,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/4b8338eb243e4225bab941a51d48be98_0.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/0,http://gis.michigan.opendata.arcgis.com/datasets/4b8338eb243e4225bab941a51d48be98_0,dnr,management units,,,,,,,,
