"schema","uuid","id","gmd:title","gmd:MD_Metadata","originator","publisher","keywords_theme","link_no_protocol","keywords_place","link_information","link_download","link_service_esri","link_invalid_protocol","link_service_wms"
"iso19139","9433c328-c1c4-499f-bab4-959eb3a9ac24","12879","CAF - Terrestrial Natural Vegetation","This raster dataset has been created using the PAMAP Program Land Cover for Pennsylvania, 2005 (downloaded from PASDA) and Landscape Blocks as originated by The Nature Conservancy. The 2005 land cover for Pennsylvania was created through a mix of interpretation of remotely sensed data and use of ancillary data sources. The date actually is a mid-point as the remotely sensed and ancillary data are representative of the time period 2003-2007. The coding is based on the Anderson Land Use/Land Cover system, where the more descriptive detail in the category is reflected by a higher code value. Using an inside buffer of 18 meters on the Landscape Blocks a new shapefile was created in order to create a 30 meter area between the blocks to represent roads. Natural vegetation cover (Water, Coniferous Forest, Mixed Forest, Deciduous Forest, Woody Wetland, and Emergent Wetland) from the 2005 Land Cover was reclassified and then the road buffered landscape blocks were combined with the raster to assign a value of ""0"" to areas in the natural vegetation land cover that overlap with the road buffers. Acreage of the contiguous natural vegetation was calculated and the data was reclassified based on conservation value as follows: Acreage Conservation Value 0-100 0 100-250 1 250-500 2 500-1000 3 1000-2500 4 2500-5000 5 5000-7500 6 7500-15000 7 15000-25000 8 25000-40000 9 > 40000 10 Conservation values were determined by experts gathered by Natural Lands Trust through SmartConservation. This data set is one of several that have been combined to create an overall terrestrial resources conservation value raster for the Central Appalachian Forest Ecoregion. Therefore the values were determined as a relative rank, comparable in value only to the other input terrestrial resources data. Conservation value ranges from 1 - 10 with 10 being the highest value.","Natural Lands Trus","","imageryBaseMapsEarthCover###SmartConservation###Terrestrial Resources###Central Appalachian Forest###natural vegetation","http://www.natlands.org###http://www.pasda.psu.edu","Pennsylvania###Central Appalachian Forest","","","","","",
"iso19139","60ba23f2-37fa-46d1-92d9-b3e22835eef5","12739","Commercial Hazardous Waste Operations","A Commercial Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Commercial Hazardous Waste Operations that are included are: Disposal Facility, Hazardous Generator, Recycling Facility, Storage Facility, and Treatment Facility._____Disposal Facility: Facility permitted by DEP to accept hazardous waste generated off-site, and dispose of the waste by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where it will remain after closure of the facility. Hazardous Generator: A site where hazardous waste is first produced. The hazardous waste may be accumulated on-site at this facility for a prescribed limited amount of time (usually between 90 and 270 days) without first obtaining a storage permit from the Department, as long as it is done in accordance with prescribed standards. Recycling Facility: Facility permitted by DEP to accept hazardous waste generated off-site, and treat the waste to make it suitable for upcoming recovery of a usable product or material. Storage Facility: Facility permitted by DEP to accept hazardous waste generated off-site, and hold the waste for a temporary period (not to exceed one year). At the end of that period the hazardous waste is treated or disposed of at the same facility, or treated, disposed, or stored elsewhere. Additional permitting is necessary if the waste is treated or disposed at the storage facility itself. Treatment Facility: Facility permitted by DEP to change the physical, chemical or biological character or composition of hazardous waste that is generated off-site. The purpose is to neutralize the waste, or to render the waste non-hazardous, safer for transport, suitable for recovery, suitable for storage, or reduced in volume.","Pennsylvania Department of Environmental Protection","Pennsylvania Department of Environmental Protection","efacts, waste, Commercial Hazardous Waste Operation, hazardous, commercial, COHWO###environment","http://www.pasda.psu.edu/","Pennsylvania","","","","","",
"iso19139","423e4c67-1c98-465c-bb1f-c9c82751336f","14937","AlleghenyCounty - Landcover2000","The Landcover dataset was created by Chester Environmental through combined image processing and GIS analysis of Landsat TM imagery of October 2, 1992, existing aerial photography, hardcopy and digital mapping sources and Census Bureau demographic data. The original dataset was created in 1993, then updated by Chester in 1994.","Allegheny County Division of Computer Services Geographic Information Systems Group","Allegheny County Division of Computer Services Geographic Information Systems Group","biota###Imagery base maps earth cover","http://www.pasda.psu.edu","PA###Clairton###Southwest PA###Duquesne###McKeesport###Pittsburgh###Allegheny County","","","","","",
"iso19139","29114e11-ae82-42f2-a7f2-de1f1d0c97dc","12047","Pennsylvania Coastal Zones 2004","The Coastal Zone Boundary delineates Pennsylvania's two coastal zones: the Delaware Estuary Coastal Zone located in southeastern Pennsylvania, and the Lake Erie Coastal Zone located in the northwestern part of the state. The federal Coastal Zone Management Act (Act) defines the coastal zone as coastal waters and the adjacent shorelands, strongly influenced by each other. The zone extends inland from the shoreline only to extend necessary to control shorelands, the uses of which have a direct and significant impact on the coastal waters. The boundary is used as a starting point by persons or agencies to determine if their proposed activities will affect the coastal zones, and are subject to review by the Pennsylvania Coastal Zone Management Program. Further, local municipalities, authorities, state agencies and certain non-profit organizations within these boundaries are eligible for Coastal Zone grants to support the goals and objectives of the Act at the local and state level. Federal actions (eg. federal development activities, federal permits and licenses, federal assistance, and Outer Continental Shelf activities) occurring within the coastal boundary, or outside the boundary but impacting upon it, are subject to the federal consistency review requirements of the Act. In addition, applications for state Department of Environmental Protection permits for activities located in the coastal zones are subject to review and approval by Pennsylvania's CZM Program.","Water Planning Office, Pa's Coastal Zone Management Program","Pennsylvania Department of Environmental Protection","oceans###inlandWaters###Coastal Zone Boundary###zones###Delaware Estuary Coastal Zone###Lake Erie Coastal Zone###Federal Coastal Zone Management Act###shorelands###Pennsylvania Coastal Zone Management Program###Federal Actions###development###permits###licenses###assistance###Outer Continental Shelf###Federal Consistency###CZM","http://www.depweb.state.pa.us/","Pennsylvania","","","","","",
"iso19139","1e0f705c-f2ba-4bfa-9475-4e277d73f002","11792","Allegheny County - Cemeteries","Outlines of public and private cemeteries greater than one acre in size. Areas were delineated following a generalized line along the outside edge of the area. Individual features within the cemetery are not shown.","Allegheny County Division of Computer Services Geographic Information Systems Group","Allegheny County Division of Computer Services Geographic Information Systems Group","Base Map","http://www.pasda.psu.edu","","","","","","",
"iso19139","5cbe7e2e-7804-4ce2-8361-9c6431c1465e","11720","Conservation Wells - Plugged","TThe plugged conservation well layer identifies the permitted surface location of oil and gas conservation wells that have been plugged. A conservation well is any well which penetrates the Onondaga horizon, or in those areas in which the Onondaga horizon is nearer to the surface than thirty-eight hundred feet, any well which exceeds a depth of thirty-eight hundred feet beneath the surface.","PA DEP","PA DEP","Plugged###Oil and Gas###well###structure###Plugged Conservation Wells###conservation###conservation wells###Gas###Onondaga###eFacts###environmental###Oil###conservation well###wells###Oil and Gas Location###facilities###Plugged Conservation Well","http://www.pasda.psu.edu/","PA###Pennsylvania","","","","","",
"iso19139","1f549943-4921-4a89-86ad-569b47ee791a","10163","Allegheny County Parcels","Boundary outlines of individual properties in Allegheny County.","Allegheny County Division of Computer Services Geographic Information Systems Group","","economy###planning Cadastre###boundaries","http://www.pasda.psu.edu/","PA###Pittsburgh###McKeesport###Clairton###Allegheny County###Duquesne###Southwest PA","","","","","",
"iso19139","6fe70f8e-76b0-4624-8e26-2477b04f8806","13652","Captive Hazardous Waste Operations","A Captive Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Captive Hazardous Waste Operations that are included in eMapPA are: Boiler/Industrial Furnace, Disposal Facility, Hazardous Generator, Incinerator, Recycling Facility, Storage Facility, and Treatment Facility._______Captive Hazardous Waste Operation Sub-Facility Types Boiler or Industrial Furnace: Facility permitted by DEP to burn or process hazardous waste generated onsite, to recover thermal energy, or to accomplish recovery of materials in association with a manufacturing process. Disposal Facility: Facility permitted by DEP to dispose of hazardous waste generated onsite by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where the waste will remain after closure of the facility. Hazardous Generator: A site where hazardous waste is first produced. The hazardous waste may be accumulated onsite at this facility for a prescribed limited amount of time (usually between 90 and 270 days) without first obtaining a storage permit from the Department, as long as it is done in accordance with prescribed standards. Incinerator: Facility permitted by DEP to burn or thermally combust hazardous waste generated onsite in an enclosed device using controlled flame. Devices meeting the criteria for classification as a boiler, industrial furnace, carbon regeneration unit, or sludge dryer are not incinerators. Recycling Facility: Facility permitted by DEP to treat hazardous waste generated onsite, making it suitable for upcoming recovery of a usable product or material. Storage Facility: Facility permitted by DEP to hold hazardous waste generated onsite for a temporary period (not to exceed one year). At the end of that period the hazardous waste is treated, disposed of, or stored elsewhere. Facilities accumulating hazardous wastes generated onsite in accordance with prescribed generator accumulation standards for a prescribed limited amount of time (usually between 90 and 270 days) are NOT storage facilities. Treatment Facility: Facility permitted by DEP to change the physical, chemical or biological character or composition of hazardous waste that is generated onsite. The purpose is to neutralize the waste or to render the waste non-hazardous, safer for transport, suitable for recovery, suitable for storage, or reduced in volume.","Pennsylvania Department of Environmental Protection","Pennsylvania Department of Environmental Protection","efacts, waste, hazardous, Captive Hazardous Waste Operation, CAHWO###environment","http://www.pasda.psu.edu","","","","","","",
"iso19139","5a901d4e-301e-43c7-9edd-2e4e89911387","13591","Digitized Mined Areas","Coal mining has occurred in Pennsylvania for over a century. The maps to these coal mines are stored at many various public and private locations (if they still exist at all) throughout the commonwealth. This dataset tries to identify the Mined Out Areas of the various coal seams in Pennsylvania. This information can be used for many environmental related issues, including mine land reclamation and determination of needs for Mine Subsidence Insurance. The information in this dataset was gathered from mine maps at these various locations so that the data can be readily available to environmental professionals.","Pennsylvania Department of Environmental Protection, Bureau of District Mining Operations","Pennsylvania Department of Environmental Protection, Bureau of District Mining Operations","Digitized Mined Areas###Waynesburg coal seam###coal resources###Middle Kittanning coal seam###Lower Kittanning coal seam###Upper Kittanning coal seam###economy###coal mine, bituminous###Lower Freeport coal seam###Upper Freeport coal seam###undermined###Clarion coal seam###active mine###Redstone coal seam###abandoned mine###Pittsburgh coal seam###Sewickley coal seam###Brookville coal seam","http://www.pasda.psu.edu/","Pennsylvania","","","","","",
"iso19139","97600737-8626-4125-8d98-b99af0db70c7","14470","Drug Alcohol Treatment Facilities","PA Drug and Alcohol Treatment Centers from the PA Dept of Health's quality assurance database. Current as of 8/25/2009.","Steve Rosenberry","","Drug Alcohol Treatment","http://www.pasda.psu.edu","","","","","","",
"iso19139","ca7a94e3-9e62-40e1-9f7b-0074868dc362","13121","Chester County Cemeteries","One of the planimetric layers developed and owned by Chester County as part of the Chester County Land Records System (ChesCO-LRS) project. The cemetery data was photogrammetrically compiled (stereo digitized) from the aerial photography taken April 07, 1993.","Chester County Bureau of Land Records (BLR)","Chester County Bureau of Land Records (BLR)","Chester County Cemeteries, Cemeteries###society","ftp://www.pasda.psu.edu/pub/pasda/chesco/chesco_cemeteries.zip","Chester County","","","","","",
"iso19139","5814a81a-e550-4794-ad98-f25956b5c752","13115","AML Polygons Feature","This data set portrays the approximate location of Abandoned Mine Land Problem Areas containing public health, safety, and public welfare problems created by past coal mining. It is a subset of data contained in the Office of Surface Mining (OSM) Abandoned Mine Land Inventory. This layer identifies AML Polygons representing specific areas to large to be represented by points within the entire, AML Inventory Site, examples include AML dangerous highwalls.","Pennsylvania Department of Environmental Protection","Pennsylvania Department of Environmental Protection","Abandoned###polygon###Abandoned Mine Land Inventory###Coal###Safety###Coal mining###Problem Areas###Inventory###AML###Public health###Land###Coal mine related problem###Geoscientific Information###mining###economy###Reclamation###polygons###Mines###Mine###Public Welfare","http://www.pasda.psu.edu/","Pennsylvania","","","","","",
"iso19139","059262e2-cdf1-4b8f-a33a-ce59f71cd138","14661","CAF - Terrestrial Interior Forest","This raster dataset has been created using the PAMAP Program Land Cover for Pennsylvania, 2005 (downloaded from PASDA) and Landscape Blocks as originated by The Nature Conservancy. The 2005 land cover for Pennsylvania was created through a mix of interpretation of remotely sensed data and use of ancillary data sources. The date actually is a mid-point as the remotely sensed and ancillary data are representative of the time period 2003-2007. The coding is based on the Anderson Land Use/Land Cover system, where the more descriptive detail in the category is reflected by a higher code value. Using an inside buffer of 18 meters on the Landscape Blocks a new shapefile was created in order to create a 30 meter area between the blocks to represent roads. The road buffered landscape blocks were combined with the Forest cover (Coniferous Forest, Mixed Forest, Deciduous Forest, and Woody Wetland) raster to assign a value of ""0"" to areas in the natural vegetation land cover that overlap with the road buffers. Using an inside buffer of 300 feet on the Forest cover (Coniferous Forest, Mixed Forest, Deciduous Forest, and Woody Wetland) from the 2005 land cover, the interior forest raster was created. Acreage of the contiguous interior forest was calculated and the data was reclassified based on conservation value as follows: Acreage Conservation Value 0-20 0 20-100 1 100-250 2 250-500 3 500-1000 4 1000-2500 5 2500-5000 6 5000-10000 7 10000-15000 8 15000-20000 9 >20000 10 No data 0 Conservation values were determined by experts gathered by Natural Lands Trust through SmartConservation. This data set is one of several that have been combined to create an overall terrestrial resources conservation value raster for the Central Appalachian Forest Ecoregion. Therefore the values were determined as a relative rank, comparable in value only to the other input terrestrial resources data. Conservation value ranges from 1 - 10 with 10 being the highest value.","Natural Lands Trust","","imageryBaseMapsEarthCover###SmartConservation###Terrestrial Resources###Central Appalachian Forest###interior forest","http://www.natlands.org###http://www.pasda.psu.edu/","Pennsylvania###Central Appalachian Forest","","","","","",
"iso19139","cbab11eb-01f7-44ab-a8d3-f6ab6c2218b7","12698","National Weather Service - Apparent Temperature Forecasts","This datasets contains 40 maps representing apparent temperature forcasts for times occuring every three hours during the next seven day period. The model is run every three hours, so these forecast projections are relative to real-time, plus or minus three hours. APPARENT TEMPERATURE is the perceived temperature derived from either a combination of temperature and wind (Wind Chill), or temperature and humidity (Heat Index) for the indicated hour. Apparent temperature grids will signify the Wind Chill when temperatures fall to 50 F or less, and the Heat Index when temperatures rise above 80 F. Between 51 and 80 F the Apparent Temperature grids will be populated by the ambient air temperature. The National Digital Forecast Database (NDFD) contains a seamless mosaic of digital forecasts from NWS field offices working in collaboration with the National Centers for Environmental Prediction (NCEP). The database is made available to all customers and partners from the public, private and academic sectors. Those customers and partners may use this data to create a wide range of text, graphic, gridded and image products of their own. Over time, NWS will offer a wider array of gridded forecast elements and a larger set of graphical presentations.","National Weather Service","The Pennsylvania State University","environment###climatologyMeteorologyAtmosphere###Apparent Temperature","http://www.pasda.psu.edu/###http://www.weather.gov/ndfd/","United States","","","","","",
"iso19139","4b1bf762-1a51-4603-bde0-e471ad2ccb24","10544","Allegheny County - Address Points","This dataset contains Address Points in Allegheny County. The Address Points were created by GDR for the Allegheny County CAD project, October 2008. Data is updated by County staff as changes and corrections are found, on a continuous basis. Updates are sent to PASDA monthly.","Allegheny County Division of Computer Services Geographic Information Systems Group; Modified by GDR for the Allegheny County CAD project, October 2008.","","Address Points###ADDRESSPOINTS###planningCadastre","http://www.pasda.psu.edu","","","","","","",
"iso19139","ad87feba-7d9f-4f80-9b9b-9a614203d3bc","11901","Conservation Wells","The conservation well layer identifies the permitted surface location of oil and gas conservation wells that have not been plugged. These include active, regulatory inactive, orphaned, and abandoned wells. A conservation well is any well which penetrates the Onondaga horizon, or in those areas in which the Onondaga horizon is nearer to the surface than thirty-eight hundred feet, any well which exceeds a depth of thirty-eight hundred feet beneath the surface.","PA DEP","PA DEP","Oil and Gas###well###structure###conservation###conservation wells###Gas###Onondaga###eFacts###environmental###Oil###conservation well###wells###Oil and Gas Location###facilities","http://www.pasda.psu.edu","PA###Pennsylvania","","","","","",
"iso19139","b4898060-8b92-4dc0-b457-36dbec57052d","10019","Intermediate Care Facilities","PA Intermediate care facilities from the Department of Health's quality assurance database. Current as of 8/4/2010.","Steve Rosenberry","","Intermediate care facilities","http://www.pasda.psu.edu","","","","","","",
"iso19139","0ab4fd77-5aa9-4771-a0f8-1ea140425a28","10057","DFIRM Depth Grid:1% Annual Chance Flood Depth Grid for Venango County","A 1% Annual Chance Flood Depth Grid represents the height of a 100 year flood surface elevation above ground or bottom of a stream channel measured in feet. The values are captured per cell of a defined area. The cell size for 1% Annual Chance Flood Depth Grids is variable. It is calculated by subtracting the height of the ground surface elevation from the surface height of the 1% annual chance flood. A Flood Depth Grid can assist a community in understanding, communicating, and relaying the variability and severity of flooding in a mapped floodplain.","Stantec Inc###Federal Emergency Management Agency","","inlandWaters","http://www.pasda.psu.edu/###http://www.floodmaps.fema.gov/fhm/fmx_main.html","","","","","","",
"iso19139","03a290d1-3a16-4797-a787-6835ad09854c","10328","Class A Wild Trout Streams","Class A streams are streams that support a population of wild (natural reproduction) trout of sufficient size and abundance to support a long-term and rewarding sport fishery. The Commission does not stock these streams. This GIS layer respresents the sections of streams that are designated as such.","Pennsylvania Fish and Boat Commission","","Wild Trout###Class A###Biomass###inlandWaters","http://www.pasda.psu.edu","Pennsylvania","","","","","",
"iso19139","730ff914-17f9-41cc-b8ff-0994361a8490","12762","Chester County Soils","This data set is a digital soil survey and is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey. The information was collected by digitizing maps, by compiling information onto a planimetric correct base and digitizing, or by revising digitized maps using remotely sensed and other information. This data set consists of georeferenced digital map data and computerized attribute data. The map data are in a full county format and include a detailed, field verified inventory of soils and nonsoil areas that normally occur in a repeatable pattern on the landscape and that can be cartographically shown at the scale mapped. Sometimes a special soil features layer (point and line features) is included. This layer displays the location of features too small to delineate at the mapping scale, but they are large enough and contrasting enough to significantly influence use and management. The soil map units are linked to attributes in the Map Unit Interpretations Record relational data base, which gives the proportionate extent of the component soils and their properties. This soil survey contains information that can be applied in managing farms and wetlands; in selecting sites for roads, ponds, buildings, and other structures; and in judging the suitability of tracts of land for farming, industry, and recreation. The data set has been provided to Chester County Departments and PASDA as an ArcView shapefile by the County of Chester, Department of Computer and Information Services. The theme has been reprojected to NAD83 from its original datum in accordance with the base map standards of the County of Chester. The County of Chester serves as the secondary organization in providing this shapefile, as compared to its originator and primary organization, the Natural Resources Conservation Service","U.S. Department of Agriculture, Natural Resources Conservation Service","U.S. Department of Agriculture, Natural Resources Conservation Service","soil survey###geoscientificinformation###soils###SSURGO###Soil Survey Geographic","ftp://www.pasda.psu.edu/pub/pasda/chesco/chesco_soils.zip","Chester County###Pennsylvania","","","","","",
"iso19139","328a5216-2ced-4583-9ea4-c33edae1b547","12705","Allegheny County Parcels","Boundary outlines of individual properties in Allegheny County.","Allegheny County Division of Computer Services Geographic Information Systems Group","","economy###planning Cadastre###boundaries","http://www.pasda.psu.edu","PA###Pittsburgh###McKeesport###Clairton###Allegheny County###Duquesne###Southwest PA","","","","","",
"iso19139","16c8099d-981e-41b0-be88-748fb3bdfce4","12678","Soil Survey Geographic (SSURGO) database for Chautauqua County, New York","This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey. The information was prepared by digitizing maps, by compiling information onto a planimetric correct base and digitizing, or by revising digitized maps using remotely sensed and other information. This data set consists of georeferenced digital map data and computerized attribute data. The map data are in a soil survey area extent format and include a detailed, field verified inventory of soils and miscellaneous areas that normally occur in a repeatable pattern on the landscape and that can be cartographically shown at the scale mapped. A special soil features layer (point and line features) is optional. This layer displays the location of features too small to delineate at the mapping scale, but they are large enough and contrasting enough to significantly influence use and management. The soil map units are linked to attributes in the National Soil Information System relational database, which gives the proportionate extent of the component soils and their properties.","U.S. Department of Agriculture, Natural Resources Conservation Service","U.S. Department of Agriculture, Natural Resources Conservation Service","SSURGO###soil survey###Soil Survey Geographic###soils","","North of Dunkirk SE Quadrangle###North Clymer SW Quadrangle###Cassadaga SE Quadrangle###South Ripley NW Quadrangle###Silver Creek NE Quadrangle###Clymer NE Quadrangle###South Ripley NE Quadrangle###North East NE Quadrangle###Hartfield SW Quadrangle###Forestville SE Quadrangle###Perrysburg SE Quadrangle###Ivory SW Quadrangle###Kennedy NE Quadrangle###Kennedy SW Quadrangle###Westfield SW Quadrangle###Scandia NE Quadrangle###North Clymer SE Quadrangle###Dunkirk SW Quadrangle###Union City NE Quadrangle###Hamlet SW Quadrangle###Ellery Center SW Quadrangle###Lakewood NW Quadrangle###Sherman NW Quadrangle###Wattsburg SE Quadrangle###Ripley SE Quadrangle###Lottsville NE Quadrangle###Clymer NW Quadrangle###Hartfield NW Quadrangle###Panama NW Quadrangle###Panama SW Quadrangle###Dunkirk NW Quadrangle###Corry NE Quadrangle###Clymer SE Quadrangle###Jamestown NE Quadrangle###Westfield SE Quadrangle###Perrysburg NE Quadrangle###Columbus NW Quadrangle###Panama SE Quadrangle###Chautauqua NE Quadrangle###Brocton SW Quadrangle###Cassadaga NE Quadrangle###Sugar Grove NE Quadrangle###Farham SW Quadrangle###North East SE Quadrangle###Ivory SE Quadrangle###Ivory NE Quadrangle###Hartfield NE Quadrangle###Ivory NW Quadrangle###Forestville NE Quadrangle###Brocton SE Quadrangle###Cherry Creek SE Quadrangle###Scandia NW Quadrangle###Sugar Grove NW Quadrangle###Sherman SW Quadrangle###Sherman SE Quadrangle###Forestville SW Quadrangle###Hamlet NE Quadrangle###Russell NW Quadrangle###Clymer SW Quadrangle###Chautauqua SW Quadrangle###Lakewood NE Quadrangle###Lakewood SW Quadrangle###Hamlet SE Quadrangle###Columbus NE Quadrangle###Gerry SW Quadrangle###Lottsville NW Quadrangle###Westfield NE Quadrangle###Cherry Creek NE Quadrangle###Farham SE Quadrangle###Cassadaga NW Quadrangle###Cassadaga SW Quadrangle###North East OE N SE Quadrangle###Westfield OE N SE Quadrangle###Chautauqua NW Quadrangle###Hamlet NW Quadrangle###Jamestown SW Quadrangle###North Clymer NE Quadrangle###Jamestown SE Quadrangle###North of Dunkirk SW Quadrangle###Perrysburg NW Quadrangle###Cherry Creek NW Quadrangle###Chautauqua County###Silver Creek SE Quadrangle###Gerry NW Quadrangle###Hartfield SE Quadrangle###Sherman NE Quadrangle###Ellery Center NW Quadrangle###Perrysburg SW Quadrangle###Ellery Center NE Quadrangle###Wattsburg NE Quadrangle###North Clymer NW Quadrangle###New York###Gerry SE Quadrangle###Chautauqua SE Quadrangle###Kennedy SE Quadrangle###Ripley NE Quadrangle###Dunkirk NE Quadrangle###Cherry Creek SW Quadrangle###Kennedy NW Quadrangle###Forestville NW Quadrangle###Farnham NW Quadrangle###Panama NE Quadrangle###Jamestown NW Quadrangle###Silver Creek SW Quadrangle###Lakewood SE Quadrangle###Brocton NE Quadrangle###Gerry NE Quadrangle###South Ripley SW Quadrangle###Westfield NW Quadrangle###South Ripley SE Quadrangle###Corry NW Quadrangle###Dunkirk SE Quadrangle###Ripley SW Quadrangle###Russell NE Quadrangle###Ellery Center SE Quadrangle","","","","","",
"iso19139","5f9d916f-1636-41d7-9c67-3f007f981f86","11894","CDFG Winter Steelhead Distribution 200706","Winter Steelhead Distribution (CalFish) June 2007 Version This dataset depicts observation-based stream-level geographic distribution of anadromous steelhead trout, Oncorhynchus mykiss irideus (O. mykiss), in California. It was developed for the express purpose of assisting with steelhead recovery planning efforts. The distributions reported in this dataset were derived from a subset of the data contained in the Aquatic Species Observation Database (ASOD), a Microsoft Access multi-species observation data capture application. ASOD is an ongoing project designed to capture as complete a set of statewide inland aquatic vertebrate species observation information as possible. Please note: A separate distribution is available for summer-run steelhead. Contact information is the same as for the above. ASOD Observation data were used to develop a network of stream segments. These lines are developed by ""tracing down"" from each observation to the sea using the flow properties of USGS National Hydrography Dataset (NHD) High Resolution hydrography. Lastly these lines, representing stream segments, were assigned a value of either Anad Present (Anadromous present), or Unsp Present (Unspecified O. mykiss present). The end result (i.e., this layer) consists of a set of lines representing the distribution of steelhead based on observations in the Aquatic Species Observation Database. This dataset represents stream reaches that are known or believed to be used by steelhead based on steelhead observations. Thus, it contains only positive steelhead occurrences. The absence of distribution on a stream does not necessarily indicate that steelhead do not utilize that stream. Additionally, steelhead may not be found in all streams or reaches each year. This is due to natural variations in run size, water conditions, and other environmental factors. The information in this data set should be used as an indicator of steelhead presence/suspected presence at the time of the observation as indicated by the 'Late_Yr' (Latest Year) field attribute. The line features in the dataset may not represent the maximum extent of steelhead on a stream; rather it is important to note that this distribution most likely underestimates the actual distribution of steelhead. This distribution is based on observations found in the ASOD database. The individual observations may not have occurred at the upper extent of anadromous occupation. In addition, no attempt was made to capture every observation of O. mykiss and so it should not be assumed that this dataset is complete for each stream. The distribution dataset was built solely from the ASOD observational data. No additional data (habitat mapping, barriers data, gradient modeling, etc.) were utilized to either add to or validate the data. It is very possible that an anadromous observation in this dataset has been recorded above (upstream of) a barrier as identified in the Passage Assessment Database (PAD). In the near future, we hope to perform a comparative analysis between this dataset and the PAD to identify and resolve all such discrepancies. Such an analysis will add rigor to and help validate both datasets. This dataset has recently undergone a review. Data source contributors as well as CDFG fisheries biologists were provided the opportunity to review and suggest edits or additions during the review. Initially data contributors were notified and invited to review and comment on the handling of the information that they provided. The distribution was then posted to an intranet mapping application and CDFG biologists were provided an opportunity to review and comment on the dataset. During this review, biologists were also encouraged to add new observation data. This resulting final distribution contains their suggestions and additions. Please refer to ""Use Constraints"" section below.","California Department of Fish and Game###Connie Shannon PSMFC/ CDFG###Eric Haney, Region 1, Information Services Branch Manager","","Endangered species###Recovery Planning###Steelhead###Distribution###Oncorhynchus mykiss irideus###Threatened Species###Winter-run###Salmonid###Species Recovery###inlandWaters","http://www.calfish.org/FishDataandMaps/DataDownloads/tabid/90/Default.aspx","Southern California Coast###South Central California Coast###California###Central Valley###Central California Coast###Northern California","","","","","",
"iso19139","d632fb45-7225-4d25-ab96-b1e92be99eec","15067","Birth Centers","PA Birth Centers from the PA Dept of Health's quality assurance database. Current as of 1/3/2012.","Steve Rosenberry","","health","http://www.pasda.psu.edu","","","","","","",
"iso19139","11237270-5f99-4553-ad78-e31a9247dd66","11647","Commercial Hazardous Waste Operations","A Commercial Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Commercial Hazardous Waste Operations that are included are: Disposal Facility, Hazardous Generator, Recycling Facility, Storage Facility, and Treatment Facility._____Disposal Facility: Facility permitted by DEP to accept hazardous waste generated off-site, and dispose of the waste by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where it will remain after closure of the facility. Hazardous Generator: A site where hazardous waste is first produced. The hazardous waste may be accumulated on-site at this facility for a prescribed limited amount of time (usually between 90 and 270 days) without first obtaining a storage permit from the Department, as long as it is done in accordance with prescribed standards. Recycling Facility: Facility permitted by DEP to accept hazardous waste generated off-site, and treat the waste to make it suitable for upcoming recovery of a usable product or material. Storage Facility: Facility permitted by DEP to accept hazardous waste generated off-site, and hold the waste for a temporary period (not to exceed one year). At the end of that period the hazardous waste is treated or disposed of at the same facility, or treated, disposed, or stored elsewhere. Additional permitting is necessary if the waste is treated or disposed at the storage facility itself. Treatment Facility: Facility permitted by DEP to change the physical, chemical or biological character or composition of hazardous waste that is generated off-site. The purpose is to neutralize the waste, or to render the waste non-hazardous, safer for transport, suitable for recovery, suitable for storage, or reduced in volume.","Pennsylvania Department of Environmental Protection","Pennsylvania Department of Environmental Protection","efacts, waste, Commercial Hazardous Waste Operation, hazardous, commercial, COHWO###environment","http://www.pasda.psu.edu/","Pennsylvania","","","","","",
"iso19139","3fc7af5d-4f17-41b7-9884-b0b5942e763b","11568","Delaware River Basin states boundaries - clipped 2004","state boundaries clipped to the Delaware River Basin","Delaware River Basin Commission (DRBC)","","environment###inlandWaters","http://www.pasda.psu.edu/","delaware river basin###Delaware###Pennsylvania###New York###New Jersey","","","","","",
