"schema"|"uuid"|"id"|"gmd:title"|"gmd:abstract"|"link_download"
"iso19139"|"F992D26F-D9A2-4D8C-8561-4846C0992C26"|"15269"|"PLSS Sections (Landnet): Wisconsin, 1996"|"This data set is a polygon shapefile representing Public Land Survey System (PLSS) sections. The data are a subset of the Wisconsin DNR's 'Landnet' database, automated from 1:24,000-scale sources."|"https://gisdata.wisc.edu/public/WI_PLSSSections_1996.zip"|
"iso19139"|"997852D2-0972-4718-913C-E49A90C438DD"|"15266"|"WISCLAND Land Cover (Grid): Wisconsin, 1998"|"This Grid-format data set, known as WISCLAND Land Cover, is a raster representation of land cover of Wisconsin derived from Landsat satellite imagery. The source data were acquired from the nationwide MRLC (Multi-Resolution Land Characteristics Consortium) acquisition of dual-date Landsat Thematic Mapper (TM) data primarily from 1992. The image processing technique followed was published in the UMGAP Image Processing Protocol (1998).The original pixel size of the source TM data is 30 meters, however the classified WISCLAND Land Cover data (excluding URBAN) are generalized or 'smoothed' to an area no smaller than four contiguous pixels (equivalent to approximately one acre). The result of this smoothing is that any feature five acres or larger may be resolved in the data (i.e., Minimum Mapping Unit (MMU) of five acres). The Land Cover data are usable at nominal scales of 1:40,000 to 1:500,000 for a wide variety of resource management and planning applications. The classification scheme was designed to be compatible with existing classification schemes such as UNESCO's and Anderson's."|"https://gisdata.wisc.edu/public/WI_WISCLAND_Grid_1998.zip"|
"iso19139"|"FDFFBDF3-CC81-47B3-9302-BC51E57259D5"|"15267"|"PLSS Townships (Landnet): Wisconsin, 1996"|"This data set is a polygon shapefile representing Public Land Survey System (PLSS) townships. The data are a subset of the Wisconsin DNR's 'Landnet' database, automated from 1:24,000-scale sources."|"https://gisdata.wisc.edu/public/WI_PLSSTownships_1996.zip"|
"iso19139"|"C4E93AAA-3FD0-4A44-9CA5-C746083F602B"|"15264"|"WISCLAND Land Cover (Image): Wisconsin, 1998"|"This tif-format data image of Wisconsin Land Cover illustrates the Level 2 land cover classification encoded in the Wisconsin Land Cover Grid. The Wisconsin Land Cover Grid is a raster representation of land cover derived from Landsat satellite imagery. The source data were acquired from the nationwide MRLC (Multi-Resolution Land Characteristics Consortium) acquisition of dual-date Landsat Thematic Mapper (TM) data primarily from 1992. The image processing technique followed was published in the UMGAP Image Processing Protocol (1998).The original pixel size of the source TM data is 30 meters, however the classified WISCLAND Land Cover data (excluding URBAN) are generalized or 'smoothed' to an area no smaller than four contiguous pixels (equivalent to approximately one acre). The result of this smoothing is that any feature five acres or larger may be resolved in the data (i.e., Minimum Mapping Unit (MMU) of five acres). The Land Cover data are usable at nominal scales of 1:40,000 to 1:500,000 for a wide variety of resource management and planning applications. The classification scheme was designed to be compatible with existing classification schemes such as UNESCO's and Anderson's."|"https://gisdata.wisc.edu/public/WI_WISCLAND_Image_1998.zip"|
"iso19139"|"4255460E-265B-43DF-9997-215D36058F9B"|"15265"|"Watersheds: Wisconsin, 2008"|"This data set is a polygon shapefile representing watersheds as delineated by the Wisconsin DNR. The data are compiled from 1:24,000-scale topographic maps. DNR watershed delineations generally indicate areas that drain into a common river system or lake, but may also be based on DNR basin management criteria. The custodian of this data set is the DNR Bureau of Watershed Management (WT)."|"https://gisdata.wisc.edu/public/WI_Watersheds_2008.zip"|
"iso19139"|"43507daf-426e-482a-9829-2f9e4d948545"|"15283"|"County Boundaries: Wisconsin, 2015"|"This polygon feature class represents boundaries of the 72 counties in Wisconsin. The data is derived from 1:24,000-scale sources. This feature class was last updated in June 2015; refer to the Data Lineage section of the ArcGIS metadata for information about the nature of the update. For more information, contact the WI DNR Bureau of Technology Services."|"https://gisdata.wisc.edu/public/WI_Counties_2015.zip"|
"iso19139"|"841D19D3-D15E-4031-BEA9-3122484FC807"|"15282"|"County Forests: Wisconsin, 2015"|"This is the County Forests layer dissolved by county from a stand (or forest management) layer used in the Wisconsin Forest Inventory & Reporting System (WisFIRS) and intended for cartographic representation of county forests in Wisconsin. \"County forests\" include all county lands entered and participating under ch. 77 on October 2, 1963, and all county lands designated as county forests by the county board or the forestry committee and entered under the county forest law and designated as \"county forest lands\" or \"county special use lands\" as hereinafter provided."|"https://gisdata.wisc.edu/public/WI_CountyForests_2015.zip"|
"iso19139"|"0A86363C-8476-46A2-98C0-BA6BA370DE76"|"15281"|"Forestry Dispatch Groups: Wisconsin, 2013"|"A Dispatch Group is a collection of Fire Response Units, or ranger stations that are directed by a single Area Forestry Leader, and dispatched out of a common location. There are currently 8 Dispatch Groups."|"https://gisdata.wisc.edu/public/WI_DispatchGroups_2013.zip"|
"iso19139"|"B87A3F59-9455-4F92-B0BF-D479768A439B"|"15280"|"Department of Natural Resources Regions: Wisconsin, 2014"|"DNR administrative regions were established circa 1997 as part of the agency's re-organization at that time. These units may be superseded in subsequent DNR re-organizations. For more information, see: ftp://dnrftp01.wi.gov/geodata/metadata/dnr_administrative_regions.pdf"|"https://gisdata.wisc.edu/public/WI_DNR_Regions_2014.zip"|
"iso19139"|"20AB66D3-E916-4551-91E2-ADD1D96D206D"|"15278"|"Ecological Landscapes: Wisconsin, 2003"|"Ecological Landscapes of Wisconsin are aggregations of NHFEU (National Hierarchical Framework of Ecological Units) subsections that have been assigned descriptive names. The Ecological Landscapes of Wisconsin are represented on a May, 1999 map prepared under the direction of the DNR Division of Land Ecosystem Management Planning Team."|""|
